depth,RPM,Flow,WOB,ROP,well
25.96,54.94729175,2.711315497,10.80726,17.31,A
26.27,54.94729175,2.711315497,10.80726,18.63,A
26.59,61.54,2.711315497,10.80726,5.66,A
26.9,60.23,2.711315497,10.80726,11.67,A
27.24,61.75,2.711315497,10.80726,12.80415812,A
27.55,61.99,2.711315497,10.80726,12.80415812,A
27.85,62.07,2.711315497,0.34467,12.80415812,A
28.16,61.95,2.711315497,10.80726,12.80415812,A
28.49,61.42,2.711315497,10.80726,12.80415812,A
28.83,59.57,2.711315497,10.80726,12.80415812,A
29.15,59.33,2.711315497,10.80726,12.80415812,A
29.47,58.67,2.711315497,10.80726,12.80415812,A
29.79,56.05,2.711315497,0.96599,12.80415812,A
30.33,54.94729175,2.711315497,10.80726,30.48,A
30.89,54.94729175,1.77589,10.80726,44.91,A
31.24,53.92,4.04293,10.80726,16.72,A
31.55,54.94729175,4.04289,10.80726,12.80415812,A
31.87,54.94729175,4.03441,10.80726,32.44,A
32.21,61.38,4.02287,10.80726,44.91,A
32.54,61.42,4.03828,10.80726,12.80415812,A
32.89,69.53,4.03983,10.80726,12.80415812,A
33.26,75.19,4.02749,10.80726,12.80415812,A
33.61,82.32,4.03672,10.80726,12.80415812,A
33.93,85.11,4.03059,10.80726,12.80415812,A
34.25,88.43,4.03983,10.80726,12.80415812,A
34.55,82.28,4.04134,10.80726,12.80415812,A
34.9,97.45,4.03672,1.27891,12.80415812,A
35.21,99.25,4.04827,10.80726,12.80415812,A
35.53,92.49,4.04906,10.80726,12.80415812,A
35.85,89.82,2.711315497,0.27664,12.80415812,A
36.17,83.27,2.711315497,10.80726,12.80415812,A
36.48,83.1,2.711315497,10.80726,12.80415812,A
36.79,79.54,2.711315497,10.80726,12.80415812,A
37.1,34.03,3.83825,10.80726,7.85,A
37.41,45.18,3.73522,10.80726,12.80415812,A
37.74,54.94729175,3.53035,10.80726,12.80415812,A
38.06,54.94729175,3.51029,10.80726,12.80415812,A
38.36,106.34,3.50026,10.80726,12.80415812,A
38.67,47.27,3.50105,10.80726,38.92,A
39.01,46.17,3.47565,10.80726,12.80415812,A
39.33,33.17,3.70179,10.80726,44.91,A
39.66,58.92,3.69941,10.80726,12.80415812,A
40.25,116.76,4.04308,10.80726,12.80415812,A
40.63,54.94729175,4.04691,10.80726,12.80415812,A
40.94,54.94729175,2.711315497,10.80726,41.98,A
41.25,54.94729175,2.711315497,10.80726,12.80415812,A
41.55,54.94729175,2.711315497,10.80726,12.80415812,A
41.86,54.94729175,2.711315497,10.80726,12.80415812,A
42.19,54.94729175,2.711315497,10.80726,12.80415812,A
42.54,54.94729175,2.711315497,10.80726,12.80415812,A
42.84,54.94729175,2.711315497,10.80726,12.80415812,A
43.19,54.94729175,2.711315497,10.80726,12.80415812,A
43.54,54.94729175,2.711315497,10.80726,12.80415812,A
43.93,54.94729175,2.711315497,10.80726,12.80415812,A
44.29,54.94729175,2.711315497,10.80726,12.80415812,A
44.61,54.94729175,2.711315497,10.80726,12.80415812,A
44.93,54.94729175,2.711315497,10.80726,12.80415812,A
45.3,116.88,2.711315497,10.80726,12.80415812,A
45.65,110.61,2.711315497,10.80726,12.80415812,A
46.01,110.28,2.711315497,10.80726,12.80415812,A
46.32,117.49,2.711315497,10.80726,12.80415812,A
46.65,117.95,2.711315497,10.80726,12.80415812,A
46.97,111.02,2.711315497,10.80726,12.80415812,A
47.35,54.94729175,2.711315497,10.80726,12.80415812,A
47.66,54.94729175,2.711315497,10.80726,12.80415812,A
48.04,54.94729175,2.711315497,10.80726,12.80415812,A
48.38,116.59,3.81501,10.80726,12.80415812,A
48.69,54.94729175,3.80808,10.80726,12.80415812,A
49.01,107.08,3.80733,10.80726,12.80415812,A
49.33,94.33,3.79885,10.80726,36.56,A
49.64,69,3.78961,10.80726,29.82,A
49.96,101.06,3.76728,10.80726,25.18,A
50.26,108.03,3.7719,10.80726,37.89,A
50.58,54.94729175,3.76652,10.80726,31.48,A
50.88,54.94729175,3.76266,10.80726,42.27,A
51.2,54.94729175,3.75804,10.80726,24.64,A
51.51,110.61,3.75959,10.80726,18.89,A
51.82,116.59,3.76883,10.80726,36.49,A
52.13,54.94729175,3.76266,10.80726,33.33,A
52.44,113.19,3.75573,10.80726,32.49,A
52.74,116.18,3.7588,10.80726,19.28,A
53.05,108.76,3.75187,10.80726,35.45,A
53.35,109.91,3.74956,10.80726,12.80415812,A
53.67,113.56,3.73805,10.80726,25.76,A
53.97,116.96,3.74036,10.80726,40.7,A
54.28,113.93,3.73805,10.80726,45.79,A
54.6,113.89,3.73726,10.80726,34.34,A
54.91,100.73,3.74494,10.80726,34.34,A
55.21,85.6,3.74956,10.80726,29.7,A
55.53,89.7,3.74263,10.80726,40.48,A
55.83,108.15,3.7465,10.80726,40.7,A
56.15,81.91,3.74881,10.80726,43.59,A
56.46,87.65,3.73646,10.80726,46.71,A
56.77,82.73,3.73571,10.80726,12.80415812,A
57.07,117.7,3.74108,10.80726,24.42,A
57.38,113.72,3.73802,10.80726,20.85,A
57.69,101.75,3.73877,10.80726,12.80415812,A
58.01,54.94729175,3.73877,10.80726,20.24,A
58.31,93.6,3.74801,10.80726,12.80415812,A
58.64,47.23,3.75183,10.80726,26.54,A
58.94,98.23,3.75956,10.80726,27.8,A
59.25,83.22,3.76111,10.80726,12.80415812,A
59.56,87.37,3.74108,10.80726,29.06,A
59.9,54.94729175,3.85514,10.80726,12.80415812,A
60.27,54.94729175,3.85669,10.80726,12.80415812,A
60.58,15.22,3.85283,10.80726,12.80415812,A
60.9,54.94729175,3.90374,10.80726,12.80415812,A
61.24,17.51,3.91915,10.80726,12.80415812,A
61.56,16.74,3.91453,10.80726,12.80415812,A
61.87,52.93,3.92301,10.80726,12.80415812,A
62.19,54.94729175,3.98225,10.80726,24.32,A
62.5,49.9,3.99686,10.80726,12.80415812,A
62.81,68.88,3.99224,10.80726,12.80415812,A
63.13,6.49,3.98456,10.80726,12.80415812,A
63.44,54.94729175,3.98456,10.80726,12.80415812,A
63.75,54.94729175,3.98611,10.80726,12.80415812,A
64.05,54.94729175,4.00534,10.80726,43.96,A
64.36,54.94729175,3.99842,10.80726,47.22,A
64.66,54.94729175,4.00459,10.80726,12.80415812,A
64.99,54.94729175,3.9938,10.80726,12.80415812,A
65.31,54.94729175,3.99766,10.80726,12.80415812,A
65.64,54.94729175,3.98687,10.80726,38.77,A
65.95,54.94729175,3.99686,10.80726,42.58,A
66.26,54.94729175,4.02457,10.80726,40.7,A
66.57,54.94729175,4.03922,10.80726,12.80415812,A
66.89,54.94729175,4.04229,10.80726,37.67,A
